HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975
4831,CanadaAlbertaSouth,Alberta,South,2020-09-22 23:43:33.660455,2020-09-22 00:00:00.000000,0:34:02.313065,0.01265746,0.04133889,0.15441551,38,125,469
591,CanadaBCFraser,BC,Fraser,2020-09-22 23:45:44.542363,2020-09-22 00:00:00.000000,0:36:13.756636,0.13413013,0.29002590,0.65786056,2495,5396,12241
592,CanadaBCInterior,BC,Interior,2020-09-22 23:52:02.303919,2020-09-22 00:00:00.000000,0:42:29.111274,0.01442260,0.03228906,0.07385184,113,254,582
593,CanadaBCIsland,BC,Island,2020-09-22 23:42:30.504530,2020-09-22 00:00:00.000000,0:32:59.434564,0.00513211,0.01474860,0.03075841,42,123,257
594,CanadaBCNorthern,BC,Northern,2020-09-22 23:52:09.132528,2020-09-22 00:00:00.000000,0:42:36.785003,0.09048144,0.14680788,0.33029615,266,432,974
595,CanadaBCVancouverCoastal,BC,Vancouver Coastal,2020-09-23 00:25:30.316189,2020-09-23 00:00:00.000000,1:15:59.601781,0.30679039,0.72316562,1.38782379,3714,8756,16805
4603,CanadaManitobaInterlake-Eastern,Manitoba,Interlake-Eastern,2020-09-22 23:35:00.428839,2020-09-22 00:00:00.000000,0:25:31.882797,0.00687587,0.01203554,0.02393759,9,15,31
4604,CanadaManitobaNorthern,Manitoba,Northern,2020-09-22 23:28:38.058308,2020-09-22 00:00:00.000000,0:19:09.625954,0.00000000,0.00000081,0.00021430,0,0,0
4602,CanadaManitobaPrairieMountain,Manitoba,Prairie Mountain,2020-09-22 23:42:20.142886,2020-09-22 00:00:00.000000,0:32:49.900541,0.01043284,0.02861293,0.05872539,17,48,100
4605,CanadaManitobaSouthernHealth,Manitoba,Southern Health,2020-09-22 23:38:53.146539,2020-09-22 00:00:00.000000,0:29:21.668169,0.01295160,0.03505040,0.06350883,26,71,129
4601,CanadaManitobaWinnipeg,Manitoba,Winnipeg,2020-09-22 23:44:19.598891,2020-09-22 00:00:00.000000,0:34:48.304469,0.09767819,0.17246006,0.26811334,752,1328,2064
1012,CanadaNLCentral,NL,Central,2020-09-22 23:30:29.103786,2020-09-22 00:00:00.000000,0:20:59.137392,0.00001542,0.00113089,0.00651989,0,1,6
1011,CanadaNLEastern,NL,Eastern,2020-09-22 23:40:32.279025,2020-09-22 00:00:00.000000,0:31:01.391288,0.00006205,0.00037408,0.00179916,0,1,5
1014,CanadaNLLabrador-Grenfell,NL,Labrador-Grenfell,2020-09-22 23:32:34.243561,2020-09-22 00:00:00.000000,0:23:05.762171,0.00000000,0.00000000,0.00000000,0,0,0
1013,CanadaNLWestern,NL,Western,2020-09-22 23:30:09.498381,2020-09-22 00:00:00.000000,0:20:41.313324,0.00000000,0.00000000,0.00000000,0,0,0
6101,CanadaNWTNWT,NWT,NWT,2020-09-22 23:31:27.535610,2020-09-22 00:00:00.000000,0:21:59.733265,0.00000000,0.00000000,0.00000000,0,0,0
1301,CanadaNewBrunswickZone1(Monctonarea),New Brunswick,Zone 1 (Moncton area),2020-09-22 23:34:23.577523,2020-09-22 00:00:00.000000,0:24:53.911011,0.00078214,0.00211376,0.00554582,1,4,12
1302,CanadaNewBrunswickZone2(SaintJohnarea),New Brunswick,Zone 2 (Saint John area),2020-09-22 23:30:24.293874,2020-09-22 00:00:00.000000,0:20:56.161649,0.00000000,0.00000000,0.00000482,0,0,0
1303,CanadaNewBrunswickZone3(Frederictonarea),New Brunswick,Zone 3 (Fredericton area),2020-09-22 23:37:36.586672,2020-09-22 00:00:00.000000,0:28:07.625720,0.00000000,0.00000000,0.00000115,0,0,0
1304,CanadaNewBrunswickZone4(Edmundstonarea),New Brunswick,Zone 4 (Edmundston area),2020-09-22 23:33:27.423381,2020-09-22 00:00:00.000000,0:23:59.156839,0.00000011,0.00012132,0.00185152,0,0,0
1305,CanadaNewBrunswickZone5(Campbelltonarea),New Brunswick,Zone 5 (Campbellton area),2020-09-23 00:02:33.253203,2020-09-23 00:00:00.000000,0:53:06.401443,0.00000000,0.00000000,0.00000002,0,0,0
1306,CanadaNewBrunswickZone6(Bathurstarea),New Brunswick,Zone 6 (Bathurst area),2020-09-22 23:29:59.625643,2020-09-22 00:00:00.000000,0:20:33.887858,0.00000218,0.00044640,0.00392209,0,0,3
1307,CanadaNewBrunswickZone7(Miramichiarea),New Brunswick,Zone 7 (Miramichi area),2020-09-22 23:31:19.820801,2020-09-22 00:00:00.000000,0:21:52.358060,0.00000000,0.00000000,0.00000000,0,0,0
1201,CanadaNovaScotiaZone1-Western,Nova Scotia,Zone 1 - Western,2020-09-22 23:34:36.727534,2020-09-22 00:00:00.000000,0:25:09.490284,0.00000000,0.00000006,0.00002185,0,0,0
1202,CanadaNovaScotiaZone2-Northern,Nova Scotia,Zone 2 - Northern,2020-09-22 23:35:31.791926,2020-09-22 00:00:00.000000,0:26:02.777240,0.00000000,0.00000210,0.00011565,0,0,0
1203,CanadaNovaScotiaZone3-Eastern,Nova Scotia,Zone 3 - Eastern,2020-09-22 23:34:58.266840,2020-09-22 00:00:00.000000,0:25:30.717200,0.00000001,0.00001217,0.00066009,0,0,1
1204,CanadaNovaScotiaZone4-Central,Nova Scotia,Zone 4 - Central,2020-09-22 23:44:56.965675,2020-09-22 00:00:00.000000,0:35:30.456723,0.00001028,0.00008193,0.00085164,0,0,3
3540,CanadaOntarioChatham-Kent,Ontario,Chatham-Kent,2020-09-22 23:38:41.771537,2020-09-22 00:00:00.000000,0:29:14.202642,0.00024403,0.00194879,0.00971924,0,2,10
3530,CanadaOntarioDurham,Ontario,Durham,2020-09-22 23:45:35.628611,2020-09-22 00:00:00.000000,0:36:06.787631,0.02530625,0.05129198,0.11959684,172,350,817
3558,CanadaOntarioEastern,Ontario,Eastern,2020-09-22 23:35:38.448341,2020-09-22 00:00:00.000000,0:26:08.920646,0.07277007,0.18382835,0.35223615,153,387,742
3533,CanadaOntarioGreyBruce,Ontario,Grey Bruce,2020-09-22 23:37:47.955406,2020-09-22 00:00:00.000000,0:28:18.377558,0.00183308,0.00681043,0.01945662,3,11,33
3534,CanadaOntarioHaldimand-Norfolk,Ontario,Haldimand-Norfolk,2020-09-22 23:47:08.618393,2020-09-22 00:00:00.000000,0:37:39.193468,0.00461450,0.01323532,0.04398753,5,15,51
3535,CanadaOntarioHaliburtonKawarthaPineridge,Ontario,Haliburton Kawartha Pineridge,2020-09-22 23:35:49.205309,2020-09-22 00:00:00.000000,0:26:20.067843,0.00018086,0.00165602,0.00861510,0,3,16
3536,CanadaOntarioHalton,Ontario,Halton,2020-09-22 23:43:46.438916,2020-09-22 00:00:00.000000,0:34:17.943247,0.11882120,0.27735815,0.63670494,689,1608,3692
3537,CanadaOntarioHamilton,Ontario,Hamilton,2020-09-23 00:04:47.823895,2020-09-23 00:00:00.000000,0:55:19.491071,0.02167230,0.05456437,0.14733234,123,309,836
3538,CanadaOntarioHastingsPrinceEdward,Ontario,Hastings Prince Edward,2020-09-22 23:31:27.289324,2020-09-22 00:00:00.000000,0:22:03.065617,0.00000003,0.00003436,0.00125932,0,0,2
3539,CanadaOntarioHuronPerth,Ontario,Huron Perth,2020-09-22 23:38:20.677827,2020-09-22 00:00:00.000000,0:28:52.808386,0.00155880,0.00965995,0.04416177,2,13,63
3541,CanadaOntarioKingstonFrontenacLennox&Addington,Ontario,Kingston Frontenac Lennox & Addington,2020-09-22 23:37:32.835683,2020-09-22 00:00:00.000000,0:28:07.500268,0.00052194,0.00168834,0.00400208,1,3,8
3542,CanadaOntarioLambton,Ontario,Lambton,2020-09-22 23:40:20.850197,2020-09-22 00:00:00.000000,0:30:53.158879,0.00384824,0.00785446,0.01829542,5,10,23
3543,CanadaOntarioLeedsGrenvilleandLanark,Ontario,Leeds Grenville and Lanark,2020-09-22 23:41:14.262427,2020-09-22 00:00:00.000000,0:31:48.834871,0.00315453,0.00846169,0.02577170,5,14,45
3544,CanadaOntarioMiddlesex-London,Ontario,Middlesex-London,2020-09-22 23:49:48.063882,2020-09-22 00:00:00.000000,0:40:20.822189,0.01984873,0.03896539,0.10232849,98,192,505
3546,CanadaOntarioNiagara,Ontario,Niagara,2020-09-22 23:40:02.976989,2020-09-22 00:00:00.000000,0:30:38.551569,0.00679431,0.01864451,0.05916858,32,88,279
3547,CanadaOntarioNorthBayParrySound,Ontario,North Bay Parry Sound,2020-09-22 23:33:39.301941,2020-09-22 00:00:00.000000,0:24:15.575800,0.00097108,0.00329812,0.00968348,1,4,12
3549,CanadaOntarioNorthwestern,Ontario,Northwestern,2020-09-22 23:32:13.829314,2020-09-22 00:00:00.000000,0:22:50.252776,0.00300902,0.01632173,0.05012987,2,13,40
3553,CanadaOntarioPeel,Ontario,Peel,2020-09-23 00:00:57.193924,2020-09-23 00:00:00.000000,0:51:29.591127,0.19526811,0.31543323,0.61981769,2884,4659,9155
3555,CanadaOntarioPeterborough,Ontario,Peterborough,2020-09-22 23:39:29.004622,2020-09-22 00:00:00.000000,0:30:06.139662,0.00005319,0.00471585,0.00504770,0,6,7
3556,CanadaOntarioPorcupine,Ontario,Porcupine,2020-09-22 23:35:11.456132,2020-09-22 00:00:00.000000,0:25:47.813293,0.01469814,0.03934703,0.13291566,12,33,114
3557,CanadaOntarioRenfrew,Ontario,Renfrew,2020-09-22 23:31:32.289143,2020-09-22 00:00:00.000000,0:22:08.657295,0.00701154,0.01565305,0.03387710,7,16,36
3560,CanadaOntarioSimcoeMuskoka,Ontario,Simcoe Muskoka,2020-09-23 00:20:37.547460,2020-09-23 00:00:00.000000,1:11:13.687690,0.13587229,0.32207640,0.75498797,793,1881,4410
3575,CanadaOntarioSouthwestern,Ontario,Southwestern,2020-09-22 23:37:56.909241,2020-09-22 00:00:00.000000,0:28:35.143933,0.00046476,0.00580399,0.01759652,0,12,37
3561,CanadaOntarioSudbury,Ontario,Sudbury,2020-09-22 23:46:14.147021,2020-09-22 00:00:00.000000,0:36:52.149275,0.00100441,0.00252180,0.00571882,2,5,11
3562,CanadaOntarioThunderBay,Ontario,Thunder Bay,2020-09-22 23:36:19.297046,2020-09-22 00:00:00.000000,0:26:56.878824,0.00130928,0.00643676,0.01840510,2,10,28
